Website,Institution,Category,State,City,ImageCount,LinkCount,FormCount,StylesheetCount,ScriptCount,CertificateInfo,HostInfo,Title,Description
https://www.graceland.edu/,Graceland University,College,IA,Lamoni,295,280,3,0,11,,,,"With over 35 areas of study, you'll be sure to find a direction that’s right for your future in one of our in-person or online programs."
https://www.grandview.edu/,Grand View University,College,IA,Des Moines,0,533,1,2,1,,,Discover the Viking Experience | Grand View University,"As a small private university in Des Moines, Iowa, we empower students with more than 40 programs of study and our affordable, hands-on learning."
https://www.gtc.edu/,Gateway Technical College,College,WI,Kenosha,22,52,1,6,4,,,,"Gateway Technical College, located in Kenosha, Racine, and Walworth counties, provides education, training, leadership, and technological resources to meet the changing needs of students, employers, and communities."
https://www.gvsu.edu/,Grand Valley State University,College,MI,Allendale,11,72,1,1,0,,,,"At Grand Valley State University, we empower learners in their pursuits, professions, and purpose. The university enriches society through excellent teaching, active scholarship, advancement of equity, and public service."
https://www.hamline.edu/,Hamline University,College,MN,St. Paul,8,206,1,5,4,,,,"As Minnesota's first university, Hamline, a private liberal arts university in the Twin Cities, prepares undergraduate and graduate students for successful careers."
https://www.hennepintech.edu/,Hennepin Technical College,College,MN,Brooklyn Park,15,295,1,13,35,,,,"Unlock your future with affordable tuition and high-wage, high-demand career training. Enroll today!
"
https://www.iastate.edu/,Iowa State University,College,IA,Ames,26,124,2,7,6,,,,
https://www.iit.edu/,Illinois Institute of Technology,College,IL,Chicago,25,124,1,4,4,,,,"Ranked among the best in the U.S., Illinois Tech empowers students with hands-on learning, diverse programs, and a high career-placement rate. Elevate your"
https://www.iowacentral.edu/,Iowa Central Community College,College,IA,Fort Dodge,31,158,1,4,8,,,,"Iowa Central Community College is located in Fort Dodge, IA. With over 100 programs to choose from we're an affordable alternative to a 4 year university at a fraction of the cost."
https://www.kellogg.edu/,Kellogg Community College,College,MI,Battle Creek,21,138,8,10,24,,,,
https://www.kzoo.edu/,Kalamazoo College,College,MI,Kalamazoo,7,166,1,20,23,,,,
https://www.loras.edu/,Loras College,College,IA,Dubuque,7,117,1,47,21,,,,"Loras, a Catholic liberal arts college in Iowa, has a community of active learners, reflective thinkers, ethical decision-makers, and responsible contributors."
https://www.lssu.edu/,Lake Superior State University,College,MI,Sault Ste. Marie,144,591,5,13,1,,,,"We equip our graduates with the knowledge, practical skills, and inner strength to craft a life of meaningful employment, personal fulfillment, and generosity of self within an inclusive atmosphere, all while enhancing the quality of life of the Great Lakes region and the world."
https://www.luc.edu/,Loyola University Chicago,College,IL,Chicago,10,197,2,10,10,,,,We are Chicago's Jesuit Catholic University. We are guided by a simple promise: to prepare people to lead extraordinary lives.
https://www.mchenry.edu/,McHenry County College,College,IL,Mchenry,20,138,1,9,27,,,,"MCC serves the community with traditional credit courses, community enrichment programs, workforce training, and professional education"
https://www.mnstate.edu/,Minnesota State University-Moorhead,College,MN,Moorhead,5,223,1,5,13,,,,"You'll receive an exceptional education at an unrivaled value from Minnesota State University Moorhead, a public university in northwest Minnesota. When you're among Dragons, you'll find the courage and drive to achieve your highest potential."
https://www.morainepark.edu/,Moraine Park Technical College,College,WI,West Bend,39,119,2,18,18,,,,"Whether you’re looking to fulfill childhood career dreams or you’re just starting to explore, Moraine Park provides you with the skills to succeed."
https://www.morris.umn.edu/,University of Minnesota-Morris,College,MN,Morris,10,226,0,5,8,,,,"We’re a student-centered public university that is proud to feature a liberal arts education. As part of the University of Minnesota System, we have worldwide name recognition, access to state-of-the-art research facilities, and nationally ranked study abroad programs."
https://www.mstc.edu/,Mid-State Technical College,College,WI,Stevens Point,145,582,2,3,5,,,,
https://www.msu.edu/,Michigan State University,College,MI,East Lansing,31,245,2,2,16,,,,Spartan excellence and our will to make a difference are making a better tomorrow for all. 
https://www.mtmercy.edu/,Mount Mercy University,College,IA,Cedar Rapids,10,112,2,7,12,,,,"Our vibrant Catholic, Mercy university focuses on preparing our students to meet the needs of a changing world and live courageous lives. A welcoming, supportive environment empowers every student to realize their full potential."
https://www.mtu.edu/,Michigan Technological University,College,MI,Houghton,22,231,3,4,4,,,,Michigan Technological University is a flagship public research university founded in 1885. Our campus in Michigan's Upper Peninsula overlooks the Keweenaw Waterway and is just a few miles from Lake Superior. Learn more about our degree programs.
https://www.neiu.edu/,Northeastern Illinois University,College,IL,Chicago,71,252,0,6,4,,,,Northeastern Illinois University offers undergraduate and graduate programs at various locations in the Chicago area. Find out more now.
https://www.nhcc.edu/,North Hennepin Community College,College,MN,Brooklyn Park,13,109,0,2,10,,,,"Since 1966, North Hennepin Community College in Minnesota has been dedicated to creating acedemic opportunities for students, because education changes lives."
https://www.niu.edu/,Northern Illinois University,College,IL,DeKalb,13,179,3,7,10,,,,"An education at NIU is more than just an academic degree. NIU opens the doors to career success, critical thinking, and lifelong learning. Find out how to apply today. "
https://www.nmu.edu/,Northern Michigan University,College,MI,Marquette,16,116,1,2,8,,,,"Choose from one of our 170+ educational programs and let your adventure begin at NMU. With 30+ online and campus-based programs to choose from, Northern's graduate education can help you get to the next level in your professional career. You have accomplished so much already, but now it's time to really immerse yourself in your academic passion.    Your education is ready when and where you want it."
https://www.normandale.edu/,Normandale Community College,College,MN,Bloomington,78,146,1,13,14,,,,
https://www.northwestern.edu/,Northwestern University,College,IL,Evanston,16,188,2,2,5,,,,"Northwestern is one of the countryâs leading private research and teaching universities, located in Evanston, IL. Our highly collaborative environment provides our diverse students and faculty with exceptional opportunities for personal and professional growth."
https://www.ntc.edu/,Northcentral Technical College,College,WI,Wausau,10,72,2,4,7,,,,"190+ accredited associate degree, technical diploma, or certificate options available. NTC has six campuses and offers online college programs and courses."
https://www.nwtc.edu/,Northeast Wisconsin Technical College,College,WI,Green Bay,13,145,3,7,6,,,,"Northeast Wisconsin Technical College is a nationally-ranked, 2-year public college where students prepare for high-tech careers and begin bachelor’s degrees."
https://www.oakland.edu/,Oakland University,College,MI,Rochester,14,194,1,13,19,,,,
https://www.oakton.edu/,Oakton Community College,College,IL,Des Plaines,25,142,1,4,15,,,,"Discover classes at Oakton College, a leading community college in Illinois. Find college courses near you and access online degrees and certificates."
https://www.rockvalleycollege.edu/,Rock Valley College,College,IL,Rockford,27,293,2,9,8,,,,
https://www.simpson.edu/,Simpson College,College,IA,Indianola,20,110,1,5,6,,,,
https://www.siue.edu/,Southern Illinois University-Edwardsville,College,IL,Edwardsville,34,171,0,4,2,,,,"SIUE is a nationally recognized university that provides students with a high-quality, affordable education that prepares them for successful careers and lives of purpose to shape a changing world. Built on the foundation of a broad-based, high-quality education, and enhanced by hands-on research and real-world experiences, the academic preparation SIUE students receive equips them to thrive in the global marketplace and make our communities better places to live."
https://www.smsu.edu/,Southwest Minnesota State University,College,MN,Marshall,23,173,2,14,9,,,,Southwest Minnesota State University is a four-year public university offering a high quality education in the liberal arts and professions to prepare you for a life that is successful both personally and professionally.
https://www.stcloudstate.edu/,Saint Cloud State University,College,MN,St. Cloud,19,52,1,1,8,,,,"St. Cloud State is a leading comprehensive public university in the Upper Midwest of the United States, delivering active and applied learning via direct access to professors, local businesses and industry leaders. More than 16,400 students and more than 109,000 alumni call themselves Huskies. Alumni and friends worldwide follow NCAA Division I and Division II Husky Athletics. Founded in 1869, St. Cloud State is located on the banks of the Mississippi River in St. Cloud, Minnesota."
https://www.svsu.edu/,Saginaw Valley State University,College,MI,University Center,16,231,0,5,10,,,,Saginaw Valley State University - One of Michigan's Most Affordable Universities
https://www.uchicago.edu/,University of Chicago,College,IL,Chicago,3,37,0,17,4,,,,"One of the world’s leading research universities, the University of Chicago inspires scholars to pursue field-defining research, while providing a transformative education for students."
https://www.udmercy.edu/,University of Detroit Mercy,College,MI,Detroit,12,84,1,6,15,,,,Earn your degree at a school that offers true value and hands-on learning opportunities. Prepare to excel in a rewarding career. Apply today!
https://www.uis.edu/,University of Illinois-Springfield,College,IL,Springfield,38,405,1,12,7,,,,"Welcome to the University of Illinois Springfield (UIS), a top-tier public university offering innovative academic programs, vibrant campus life, and a supportive community. Explore our comprehensive undergraduate and graduate degrees, cutting-edge research opportunities, and diverse extracurricular activities designed to foster personal and professional growth. Join us at UIS and discover a world of possibilities."
https://www.umflint.edu/,University of Michigan-Flint,College,MI,Flint,21,99,2,26,96,,,,
https://www.uni.edu/,University of Northern Iowa,College,IA,Cedar Falls,17,458,2,4,6,,,,"The University of Northern Iowa is a top public university in Cedar Falls, Iowa, offering undergraduate and graduate degrees in business, health, education, technology, science, and art."
https://www.uwec.edu/,University of Wisconsin-Eau Claire,College,WI,Eau Claire,25,102,1,6,10,,,,
https://www.uwgb.edu/,University of Wisconsin-Green Bay,College,WI,Green Bay,12,309,1,1,6,,,,
https://www.uwlax.edu/,University of Wisconsin-La Crosse,College,WI,La Crosse,37,199,1,7,8,,,,"Explore UW-La Crosse. UWL is Wisconsin’s top-ranked public university among peers, according to U.S. News & World Report’s Best Colleges list."
https://www.uwosh.edu/,University of Wisconsin-Oshkosh,College,WI,Oshkosh,5,79,0,13,6,,,,
https://www.uwp.edu/,University of Wisconsin-Parkside,College,WI,Kenosha,31,243,2,2,7,,,,
https://www.uwplatt.edu/,University of Wisconsin-Platteville,College,WI,Platteville,14,79,1,6,8,,,,The University of Wisconsin-Platteville is committed to being the top university in Wisconsin and beyond. Click here to learn more about us.
https://www.uwrf.edu/,University of Wisconsin-River Falls,College,WI,River Falls,19,195,1,6,5,,,,
https://www.uwsp.edu/,University of Wisconsin-Stevens Point,College,WI,Stevens Point,21,188,0,7,13,,,,UW-Stevens Point empowers students to discover their purpose at a price that is affordable. Take the next steps to apply today.
https://www.uwstout.edu/,University of Wisconsin-Stout,College,WI,Menomonie,14,224,5,3,9,,,,
https://www.wccnet.edu/,Washtenaw Community College,College,MI,Ann Arbor,21,87,2,11,21,,,,
https://www.wctc.edu/,Waukesha County Technical College,College,WI,Waukesha,22,201,1,2,7,,,,
https://www.westerntc.edu/,Western Technical College,College,WI,La Crosse,24,269,2,10,9,,,,"Western Technical College in La Crosse, WI offers the affordable path to a great career. Our programs provide the skills and experience needed in the workforce today through hands-on education with flexible learning options."
https://www.winona.edu/,Winona State University,College,MN,Winona,10,189,3,5,3,,,,
https://www.wisc.edu/,University of Wisconsin-Madison,College,WI,Madison,12,85,2,4,5,,,,"The University of Wisconsin is a top-ranked research institution located in Madison, Wisconsin, providing exceptional education opportunities to undergraduates, graduate and professional students."
https://www.witcc.edu/,Western Iowa Tech Community College,College,IA,Sioux City,5,130,1,12,15,,,,
https://www.wiu.edu/,Western Illinois University,College,IL,Macomb,20,129,1,13,8,,,,Western Illinois University students have the advantages of large universities - accomplished faculty; modern technologies and facilities; and broad academic and extracurricular opportunities. We give you the extras that larger public universities can't - personalized attention from our faculty and staff.
